day,medal_date,medal_type,medal_code,name,gender,country,country_code,nationality,team,team_gender,discipline,event,event_type,birth_date
1,2024-07-27,Gold Medal,1,EVENEPOEL Remco,Male,Belgium,BEL,Belgium,,,Cycling Road,Men's Individual Time Trial,ATH,2000-01-25
1,2024-07-27,Silver Medal,2,GANNA Filippo,Male,Italy,ITA,Italy,,,Cycling Road,Men's Individual Time Trial,ATH,1996-07-25
1,2024-07-27,Bronze Medal,3,van AERT Wout,Male,Belgium,BEL,Belgium,,,Cycling Road,Men's Individual Time Trial,ATH,1994-09-15
1,2024-07-27,Gold Medal,1,BROWN Grace,Female,Australia,AUS,Australia,,,Cycling Road,Women's Individual Time Trial,ATH,1992-07-07
1,2024-07-27,Silver Medal,2,HENDERSON Anna,Female,Great Britain,GBR,Great Britain,,,Cycling Road,Women's Individual Time Trial,ATH,1998-11-14
1,2024-07-27,Bronze Medal,3,DYGERT Chloe,Female,United States,USA,United States,,,Cycling Road,Women's Individual Time Trial,ATH,1997-01-01
1,2024-07-27,Gold Medal,1,OH Sanguk,Male,Korea,KOR,Korea,,,Fencing,Men's Sabre Individual,HATH,1996-09-30
1,2024-07-27,Silver Medal,2,FERJANI Fares,Male,Tunisia,TUN,Tunisia,,,Fencing,Men's Sabre Individual,HATH,1997-07-22
1,2024-07-27,Bronze Medal,3,SAMELE Luigi,Male,Italy,ITA,Italy,,,Fencing,Men's Sabre Individual,HATH,1987-07-25
1,2024-07-27,Gold Medal,1,KONG Man Wai Vivian,Female,"Hong Kong, China",HKG,"Hong Kong, China",,,Fencing,Women's Épée Individual,HATH,1994-02-08
1,2024-07-27,Silver Medal,2,MALLO-BRETON Auriane,Female,France,FRA,France,,,Fencing,Women's Épée Individual,HATH,1993-10-11
1,2024-07-27,Bronze Medal,3,MUHARI Eszter,Female,Hungary,HUN,Hungary,,,Fencing,Women's Épée Individual,HATH,2002-09-30
1,2024-07-27,Gold Medal,1,SMETOV Yeldos,Male,Kazakhstan,KAZ,Kazakhstan,,,Judo,Men -60 kg,HATH,1992-09-09
1,2024-07-27,Silver Medal,2,MKHEIDZE Luka,Male,France,FRA,France,,,Judo,Men -60 kg,HATH,1996-01-05
1,2024-07-27,Bronze Medal,3,NAGAYAMA Ryuju,Male,Japan,JPN,Japan,,,Judo,Men -60 kg,HATH,1996-04-15
1,2024-07-27,Bronze Medal,3,GARRIGOS Francisco,Male,Spain,ESP,Spain,,,Judo,Men -60 kg,HATH,1994-12-09
1,2024-07-27,Gold Medal,1,TSUNODA Natsumi,Female,Japan,JPN,Japan,,,Judo,Women -48 kg,HATH,1992-08-06
1,2024-07-27,Silver Medal,2,BAVUUDORJ Baasankhuu,Female,Mongolia,MGL,Mongolia,,,Judo,Women -48 kg,HATH,1999-11-26
1,2024-07-27,Bronze Medal,3,BOUKLI Shirine,Female,France,FRA,France,,,Judo,Women -48 kg,HATH,1999-01-24
1,2024-07-27,Bronze Medal,3,BABULFATH Tara,Female,Sweden,SWE,Sweden,,,Judo,Women -48 kg,HATH,2006-01-03
1,2024-07-27,Gold Medal,1,MAERTENS Lukas,Male,Germany,GER,Germany,,,Swimming,Men's 400m Freestyle,ATH,2001-12-27
1,2024-07-27,Silver Medal,2,WINNINGTON Elijah,Male,Australia,AUS,Australia,,,Swimming,Men's 400m Freestyle,ATH,2000-05-05
1,2024-07-27,Bronze Medal,3,KIM Woomin,Male,Korea,KOR,Korea,,,Swimming,Men's 400m Freestyle,ATH,2001-08-24
1,2024-07-27,Gold Medal,1,TITMUS Ariarne,Female,Australia,AUS,Australia,,,Swimming,Women's 400m Freestyle,ATH,2000-09-07
1,2024-07-27,Silver Medal,2,McINTOSH Summer,Female,Canada,CAN,Canada,,,Swimming,Women's 400m Freestyle,ATH,2006-08-18
1,2024-07-27,Bronze Medal,3,LEDECKY Katie,Female,United States,USA,United States,,,Swimming,Women's 400m Freestyle,ATH,1997-03-17
1,2024-07-27,Gold Medal,1,CHANG Yani,Female,China,CHN,China,People's Republic of China,W,Diving,Women's Synchronised 3m Springboard,TEAM,2001-12-07
1,2024-07-27,Gold Medal,1,CHEN Yiwen,Female,China,CHN,China,People's Republic of China,W,Diving,Women's Synchronised 3m Springboard,TEAM,1999-06-15
1,2024-07-27,Silver Medal,2,BACON Sarah,Female,United States,USA,United States,United States of America,W,Diving,Women's Synchronised 3m Springboard,TEAM,1996-09-20
1,2024-07-27,Silver Medal,2,COOK Kassidy,Female,United States,USA,United States,United States of America,W,Diving,Women's Synchronised 3m Springboard,TEAM,1995-05-09
1,2024-07-27,Bronze Medal,3,HARPER Yasmin,Female,Great Britain,GBR,Great Britain,Great Britain,W,Diving,Women's Synchronised 3m Springboard,TEAM,2000-07-28
1,2024-07-27,Bronze Medal,3,MEW JENSEN Scarlett,Female,Great Britain,GBR,Great Britain,Great Britain,W,Diving,Women's Synchronised 3m Springboard,TEAM,2001-12-31
1,2024-07-27,Gold Medal,1,PASQUET Varian,Male,France,FRA,France,France,M,Rugby Sevens,Men,HTEAM,1999-07-29
1,2024-07-27,Gold Medal,1,TIMO Andy,Male,France,FRA,France,France,M,Rugby Sevens,Men,HTEAM,2004-05-28
1,2024-07-27,Gold Medal,1,REBBADJ Rayan,Male,France,FRA,France,France,M,Rugby Sevens,Men,HTEAM,1999-08-15
1,2024-07-27,Gold Medal,1,FORNER Theo,Male,France,FRA,France,France,M,Rugby Sevens,Men,HTEAM,2001-10-17
1,2024-07-27,Gold Medal,1,PAREZ EDO MARTIN Stephen,Male,France,FRA,France,France,M,Rugby Sevens,Men,HTEAM,1994-08-01
1,2024-07-27,Gold Medal,1,RIVA Paulin,Male,France,FRA,France,France,M,Rugby Sevens,Men,HTEAM,1994-04-20
1,2024-07-27,Gold Medal,1,JOSEPH Jefferson-Lee,Male,France,FRA,France,France,M,Rugby Sevens,Men,HTEAM,2002-08-29
1,2024-07-27,Gold Medal,1,ZEGHDAR Antoine,Male,France,FRA,France,France,M,Rugby Sevens,Men,HTEAM,1999-05-22
1,2024-07-27,Gold Medal,1,GRANDIDIER NKANANG Aaron,Male,France,FRA,France,France,M,Rugby Sevens,Men,HTEAM,2000-05-18
1,2024-07-27,Gold Medal,1,BARRAQUE Jean Pascal,Male,France,FRA,France,France,M,Rugby Sevens,Men,HTEAM,1991-04-24
1,2024-07-27,Gold Medal,1,DUPONT Antoine,Male,France,FRA,France,France,M,Rugby Sevens,Men,HTEAM,1996-11-15
1,2024-07-27,Gold Medal,1,SEPHO Jordan,Male,France,FRA,France,France,M,Rugby Sevens,Men,HTEAM,1998-12-08
1,2024-07-27,Gold Medal,1,EPEE Nelson,Male,France,FRA,France,France,M,Rugby Sevens,Men,HTEAM,2001-02-20
1,2024-07-27,Silver Medal,2,NASOVA Joji,Male,Fiji,FIJ,Fiji,Fiji,M,Rugby Sevens,Men,HTEAM,2000-06-09
