birth_date,number
1965-11-14,1
1967-06-29,1
1969-07-21,2
1973-01-01,1
1975-08-04,1
1975-10-17,1
1976-07-19,1
1977-07-24,1
1980-03-16,1
1980-03-30,1
1980-05-10,1
1980-05-21,1
1980-11-15,1
1980-12-28,1
1981-05-11,1
1981-06-21,1
1981-08-01,1
1981-11-22,1
1982-01-18,1
1982-06-10,1
1982-06-11,1
1982-07-31,1
1982-08-20,1
1982-12-18,1
1983-01-30,1
1983-06-05,1
1983-07-13,1
1984-03-18,1
1984-03-31,1
1984-11-03,1
1984-12-23,1
1984-12-28,1
1984-12-30,1
1985-01-02,1
1985-02-02,1
1985-04-30,1
1985-05-10,1
1985-05-15,1
1985-07-18,1
1985-08-21,1
1985-10-19,1
1985-10-23,1
1985-11-23,1
1986-01-13,1
1986-02-16,2
1986-02-19,1
1986-04-04,1
1986-04-25,1
1986-06-17,1
1986-06-23,1
1986-10-08,1
1986-10-16,1
1986-11-13,1
1986-11-22,1
1986-11-27,1
1986-12-06,1
1987-01-08,1
1987-02-27,1
1987-03-01,1
1987-03-12,1
1987-03-25,1
1987-04-18,1
1987-04-29,1
1987-05-11,1
1987-05-13,1
1987-05-15,1
1987-05-22,1
1987-06-13,1
1987-06-23,1
1987-06-26,1
1987-07-15,1
1987-07-24,1
1987-07-25,1
1987-10-01,3
1987-10-10,1
1987-10-22,1
1987-11-02,1
1987-11-26,1
1988-02-06,1
1988-02-10,1
1988-02-19,1
1988-02-26,1
1988-03-08,1
1988-03-09,1
1988-03-14,2
1988-04-20,1
1988-05-03,1
1988-05-08,1
1988-06-06,1
1988-06-17,1
1988-06-25,1
1988-07-15,1
1988-07-16,1
1988-07-20,1
1988-07-25,1
1988-08-02,2
1988-08-18,1
1988-08-29,1
1988-08-31,1
1988-09-08,1
1988-09-29,1
1988-10-20,1
1988-10-27,2
1988-11-05,1
1988-11-25,1
1988-12-14,1
1988-12-19,1
1989-01-10,1
1989-01-14,1
1989-02-07,1
1989-02-10,1
1989-03-03,1
1989-03-14,1
1989-03-19,2
1989-03-20,1
1989-03-23,1
1989-04-06,1
1989-04-07,2
1989-04-27,1
1989-04-28,1
1989-05-01,1
1989-05-10,1
1989-06-20,1
1989-06-23,3
1989-06-28,1
1989-07-01,1
1989-07-02,1
1989-07-10,1
1989-07-15,1
1989-08-24,4
1989-08-28,1
1989-08-31,2
1989-09-02,1
1989-10-18,1
1989-10-30,1
1989-11-02,1
1989-11-10,1
1989-11-16,1
1989-11-22,1
1989-12-11,1
1989-12-13,1
1990-01-14,1
1990-01-18,1
1990-01-22,1
1990-02-11,1
1990-03-04,1
1990-03-16,1
1990-03-21,1
1990-04-10,1
1990-04-17,1
1990-04-23,1
1990-04-27,1
1990-04-28,1
1990-06-01,1
1990-06-06,1
1990-06-12,1
1990-06-16,3
1990-06-21,2
1990-06-29,1
1990-07-10,1
1990-08-01,2
1990-08-04,1
1990-08-12,1
1990-08-13,1
1990-08-18,2
1990-08-23,2
1990-08-27,1
1990-09-04,2
1990-09-19,1
1990-10-06,1
1990-10-09,1
1990-10-17,1
1990-10-18,1
1990-11-02,1
1990-11-12,2
1990-11-22,1
1990-11-30,1
1990-12-10,1
1990-12-21,1
1990-12-24,1
1990-12-25,1
1990-12-31,1
1991-01-04,1
1991-01-08,1
1991-01-10,1
1991-01-12,1
1991-01-13,1
1991-01-19,1
1991-01-24,3
1991-01-26,1
1991-02-12,2
1991-02-15,1
1991-02-23,1
1991-02-24,1
1991-02-25,1
1991-02-26,1
1991-03-03,1
1991-03-16,1
1991-03-17,1
1991-03-19,1
1991-03-21,1
1991-03-31,1
1991-04-05,1
1991-04-06,1
1991-04-08,1
1991-04-13,1
1991-04-24,1
1991-05-10,1
1991-05-28,1
1991-06-13,1
1991-06-14,1
1991-06-18,1
1991-06-20,1
1991-06-23,1
1991-06-24,1
1991-07-01,1
1991-07-12,1
1991-07-14,2
1991-07-21,1
1991-08-06,1
1991-08-11,2
1991-08-20,1
1991-08-24,2
1991-09-19,1
1991-09-25,2
1991-09-29,1
1991-10-02,2
1991-10-08,1
1991-10-17,1
1991-10-19,1
1991-10-21,1
1991-11-17,1
1991-12-18,1
1991-12-23,1
1991-12-27,2
1992-01-02,1
1992-01-04,1
1992-01-25,1
1992-02-02,1
1992-02-10,1
1992-02-15,1
1992-02-16,1
1992-02-25,1
1992-03-04,1
1992-03-05,1
1992-03-07,1
1992-03-09,1
1992-03-20,1
1992-03-26,1
1992-04-01,1
1992-04-03,1
1992-04-06,1
1992-04-09,1
1992-04-10,3
1992-04-11,1
1992-04-12,1
1992-04-15,1
1992-04-24,1
1992-04-30,1
1992-05-01,1
1992-05-13,1
1992-05-18,1
1992-05-20,1
1992-05-27,1
1992-06-04,1
1992-06-20,3
1992-06-22,1
1992-06-25,1
1992-06-26,2
1992-07-01,2
1992-07-03,1
1992-07-07,1
1992-07-12,1
1992-07-17,1
1992-07-21,1
1992-08-06,2
1992-08-08,1
1992-08-11,1
1992-08-12,1
1992-08-18,1
1992-08-24,2
1992-08-27,1
1992-09-01,1
1992-09-04,1
1992-09-07,1
1992-09-09,1
1992-09-10,1
1992-09-17,1
1992-09-28,1
1992-10-03,1
1992-10-08,1
1992-10-10,1
1992-10-14,1
1992-10-17,1
1992-10-23,1
1992-10-25,2
1992-10-28,1
1992-10-29,1
1992-11-03,1
1992-11-04,1
1992-11-10,1
1992-11-30,1
1992-12-07,1
1992-12-09,2
1992-12-11,1
1992-12-14,1
1992-12-17,1
1992-12-18,3
1993-01-01,4
1993-01-02,1
1993-01-06,1
1993-01-08,1
1993-01-09,1
1993-01-15,1
1993-01-24,1
1993-01-30,1
1993-02-03,1
1993-02-05,1
1993-02-21,1
1993-02-23,1
1993-02-24,1
1993-02-28,3
1993-03-03,2
1993-03-09,1
1993-03-11,1
1993-03-16,1
1993-04-10,1
1993-04-17,1
1993-04-24,1
1993-04-28,1
1993-04-30,1
1993-05-04,1
1993-05-08,1
1993-05-10,1
1993-05-18,1
1993-05-21,1
1993-05-22,1
1993-05-24,1
1993-06-04,1
1993-06-07,1
1993-06-20,1
1993-06-24,1
1993-06-27,1
1993-06-29,1
1993-06-30,1
1993-07-03,3
1993-07-05,1
1993-07-07,1
1993-07-17,1
1993-07-31,1
1993-08-03,1
1993-08-11,1
1993-08-12,1
1993-08-13,1
1993-08-16,1
1993-08-17,2
1993-08-20,1
1993-08-23,2
1993-09-04,2
1993-09-06,1
1993-09-09,1
1993-09-14,1
1993-09-19,1
1993-09-21,1
1993-09-22,2
1993-09-23,1
1993-09-28,2
1993-09-30,1
1993-10-02,1
1993-10-05,2
1993-10-08,1
1993-10-11,2
1993-10-14,3
1993-10-17,1
1993-10-20,1
1993-11-01,1
1993-11-02,1
1993-11-06,1
1993-11-19,1
1993-11-25,2
1993-11-26,1
1993-12-01,1
1993-12-06,1
1993-12-12,1
1993-12-18,2
1993-12-19,1
1993-12-22,1
1993-12-25,4
1994-01-03,1
1994-01-04,1
1994-01-10,2
1994-01-13,1
1994-01-15,2
1994-01-25,1
1994-02-02,2
1994-02-03,1
1994-02-04,1
1994-02-05,1
1994-02-08,2
1994-02-10,1
1994-02-11,1
1994-02-14,2
1994-02-20,1
1994-02-25,1
1994-02-28,1
1994-03-02,1
1994-03-07,2
1994-03-11,1
1994-03-15,1
1994-03-16,1
1994-03-17,1
1994-03-25,1
1994-03-26,2
1994-03-29,1
1994-04-01,1
1994-04-02,1
1994-04-03,2
1994-04-05,3
1994-04-07,1
1994-04-08,1
1994-04-09,1
1994-04-16,1
1994-04-19,1
1994-04-20,1
1994-04-22,1
1994-04-26,1
1994-04-28,1
1994-04-29,1
1994-04-30,1
1994-05-01,1
1994-05-06,1
1994-05-08,1
1994-05-09,1
1994-05-13,1
1994-05-14,1
1994-05-17,1
1994-05-19,1
1994-05-20,1
1994-05-21,1
1994-05-22,1
1994-05-23,1
1994-05-24,4
1994-05-26,1
1994-05-29,2
1994-06-03,1
1994-06-06,1
1994-06-11,2
1994-06-14,1
1994-06-15,3
1994-06-16,1
1994-06-18,2
1994-06-19,1
1994-06-24,1
1994-06-28,1
1994-06-29,2
1994-07-01,2
1994-07-02,1
1994-07-06,1
1994-07-07,1
1994-07-08,2
1994-07-15,1
1994-07-18,1
1994-07-19,1
1994-07-22,1
1994-07-24,1
1994-07-27,1
1994-07-31,1
1994-08-01,1
1994-08-03,1
1994-08-09,1
1994-08-11,2
1994-08-15,1
1994-08-18,1
1994-08-19,1
1994-08-22,1
1994-08-24,1
1994-08-25,2
1994-08-26,2
1994-08-27,2
1994-08-28,1
1994-09-05,2
1994-09-07,2
1994-09-12,3
1994-09-15,1
1994-09-21,1
1994-09-22,1
1994-09-28,2
1994-10-01,1
1994-10-03,1
1994-10-14,2
1994-10-17,1
1994-10-21,1
1994-10-22,1
1994-10-25,3
1994-10-26,2
1994-10-27,1
1994-11-04,1
1994-11-05,1
1994-11-08,1
1994-11-10,1
1994-11-11,1
1994-11-19,1
1994-11-22,1
1994-11-24,1
1994-11-30,1
1994-12-01,1
1994-12-03,1
1994-12-09,2
1994-12-13,1
1994-12-14,1
1994-12-18,1
1994-12-23,1
1994-12-24,2
1994-12-25,1
1994-12-26,1
1994-12-28,1
1994-12-30,1
1995-01-03,1
1995-01-06,1
1995-01-08,1
1995-01-13,1
1995-01-14,2
1995-01-15,1
1995-01-16,1
1995-01-17,1
1995-01-18,1
1995-01-21,1
1995-01-25,2
1995-01-26,2
1995-01-28,1
1995-01-30,1
1995-02-07,1
1995-02-08,1
1995-02-17,1
1995-02-19,1
1995-02-20,1
1995-02-23,1
1995-02-25,1
1995-02-28,2
1995-03-07,1
1995-03-08,1
1995-03-10,1
1995-03-12,1
1995-03-17,1
1995-03-19,1
1995-03-20,2
1995-03-28,1
1995-04-03,1
1995-04-07,1
1995-04-11,1
1995-04-15,1
1995-04-18,1
1995-04-19,1
1995-04-21,2
1995-04-28,1
1995-04-30,1
1995-05-01,1
1995-05-02,1
1995-05-07,1
1995-05-09,2
1995-05-11,1
1995-05-13,1
1995-05-14,1
1995-05-21,2
1995-05-22,1
1995-05-24,2
1995-05-30,1
1995-06-09,1
1995-06-13,2
1995-06-19,1
1995-06-21,1
1995-06-26,1
1995-06-27,1
1995-07-02,3
1995-07-12,2
1995-07-13,1
1995-07-14,1
1995-07-17,1
1995-07-18,1
1995-07-19,1
1995-07-22,2
1995-07-28,1
1995-07-29,2
1995-08-01,1
1995-08-03,1
1995-08-04,1
1995-08-05,1
1995-08-06,1
1995-08-12,2
1995-08-18,1
1995-08-19,3
1995-08-20,1
1995-08-25,1
1995-08-26,1
1995-09-02,1
1995-09-06,1
1995-09-07,1
1995-09-08,2
1995-09-12,1
1995-09-14,1
1995-09-15,1
1995-09-19,1
1995-09-22,1
1995-09-24,1
1995-09-29,1
1995-09-30,1
1995-10-01,1
1995-10-02,1
1995-10-05,1
1995-10-06,1
1995-10-11,1
1995-10-12,1
1995-10-14,1
1995-10-21,1
1995-10-29,1
1995-11-03,1
1995-11-05,1
1995-11-08,1
1995-11-09,1
1995-11-10,2
1995-11-15,1
1995-11-26,2
1995-11-30,1
1995-12-02,1
1995-12-03,1
1995-12-04,1
1995-12-05,1
1995-12-06,2
1995-12-10,2
1995-12-13,1
1995-12-17,1
1995-12-18,1
1995-12-25,1
1995-12-27,1
1995-12-29,1
1996-01-01,2
1996-01-02,1
1996-01-03,1
1996-01-04,1
1996-01-05,2
1996-01-06,1
1996-01-07,1
1996-01-08,1
1996-01-10,1
1996-01-12,1
1996-01-18,1
1996-01-19,1
1996-01-28,1
1996-01-30,3
1996-02-06,1
1996-02-07,1
1996-02-10,1
1996-02-11,2
1996-02-16,1
1996-02-18,1
1996-02-20,1
1996-02-24,1
1996-02-25,2
1996-02-26,2
1996-02-28,2
1996-02-29,1
1996-03-01,1
1996-03-03,1
1996-03-08,1
1996-03-10,1
1996-03-11,2
1996-03-12,2
1996-03-13,3
1996-03-15,2
1996-03-22,1
1996-03-23,1
1996-03-28,1
1996-04-06,2
1996-04-12,2
1996-04-14,1
1996-04-15,2
1996-04-17,2
1996-04-19,1
1996-04-20,1
1996-04-23,1
1996-04-25,1
1996-04-29,2
